"site_id","entity_id","year_BP","mineralogy","d18O_measurement","d13C_measurement","d18O_dweq","d13C_dweq","TEMP","PREC","ISOT","ITIF","EVAP"
"139","294","600.36","calcite","-9.061","-3.352","-11.3491759385659","-3.352","11.6020800306815","433.038458653097","-7.05278860213173","-8.37805391285041","451.232008755693"
"139","294","602.64","calcite","-9.066","-3.585","-11.3500423192371","-3.585","11.6230304109823","448.879759602022","-7.12581749123967","-8.45180905249374","388.024233181173"
"139","294","604.92","calcite","-9.08","-3.823","-11.4313649063568","-3.823","11.2965869023194","340.350534114327","-6.76808701143875","-7.70492608797499","336.80928861782"
"139","294","607.2","calcite","-8.923","-3.416","-11.2794043880078","-3.416","11.2483648768694","377.651752237387","-7.40516675172374","-8.71437526163258","354.63362337379"
"139","294","609.48","calcite","-9.038","-3.755","-11.4655574135974","-3.755","10.9193394306111","304.449904684137","-6.68267855867255","-7.78545255455231","320.853933277512"
"139","294","611.76","calcite","-8.986","-3.331","-11.3694523489724","-3.331","11.126103200633","328.457310685248","-6.80653731576318","-7.57762406065395","325.123385160584"
"139","294","614.04","calcite","-9.068","-3.921","-11.4686125440139","-3.921","11.0549147244323","367.094975432426","-6.8651048369006","-8.59443996377931","391.776951169489"
"139","294","616.32","calcite","-8.975","-3.394","-11.4916004408672","-3.394","10.4776464894167","515.833582501775","-7.53079281280383","-8.69878182687684","437.975748749036"
"139","294","618.6","calcite","-9.091","-3.864","-11.6691676992109","-3.864","10.1969102714699","468.412066627598","-7.00940171994335","-8.69211824777809","427.512662785644"
"139","294","620.88","calcite","-8.983","-3.325","-11.4456422081843","-3.325","10.7406083978911","309.654311775664","-7.028464724316","-7.84378758675346","368.300522236382"
"139","294","623.16","calcite","-9.068","-3.672","-11.5283636049586","-3.672","10.7644363271665","909.760725902782","-7.57068631086586","-8.61431298854334","601.384603029565"
"139","294","625.44","calcite","-9.014","-3.524","-11.2929355148152","-3.524","11.640127118091","440.552334341533","-6.46018064524723","-7.85359923491538","402.142486690592"
"139","294","627.72","calcite","-8.965","-3.113","-11.1698356953299","-3.113","11.9952556457386","411.675877176875","-6.61044075752955","-6.79018038174767","386.375088549884"
"139","294","630","calcite","-8.903","-3.072","-11.3632960116234","-3.072","10.7399897672667","530.248527414048","-6.8124029903902","-8.20812312511662","492.119985846199"
"139","294","632.28","calcite","-9.018","-3.292","-11.3243636090921","-3.292","11.506766234475","280.556111813037","-6.92023006957434","-8.15791217016187","333.830584929215"
"139","294","634.56","calcite","-9.011","-3.029","-11.4750397470654","-3.029","10.7380262664508","566.280878299958","-7.50349481186738","-8.37406469371376","482.326214096828"
"139","294","636.84","calcite","-9.047","-3.161","-11.5643983709636","-3.161","10.484569250267","620.436618198331","-8.0970945660939","-8.974165892734","487.982601941101"
"139","294","639.12","calcite","-8.995","-3.02","-11.574788212563","-3.02","10.1747153104112","410.189660175157","-8.06917484047532","-9.60392586996305","392.928040103995"
"139","294","641.4","calcite","-8.89","-3.267","-11.4158060487049","-3.267","10.4203031500438","456.964059393373","-7.09026566467598","-8.37531809318777","474.214637017628"
"139","294","643.68","calcite","-8.834","-2.798","-11.3120580710413","-2.798","10.643416422604","483.039915024698","-7.45117942754174","-9.30434934800293","431.70687622689"
"139","294","645.96","calcite","-8.847","-2.723","-11.368706536662","-2.723","10.4337234881365","496.502654264461","-7.23400534313471","-9.22192083185409","396.782484235067"
"139","294","648.24","calcite","-8.855","-2.621","-11.3268883990433","-2.621","10.6765085441476","337.41655799198","-7.26320940382316","-8.42034296572214","381.277031919141"
"139","294","650.48","calcite","-8.952","-2.995","-11.3771470307415","-2.995","10.9181301233059","474.096650528815","-7.70384507897002","-8.56201436411854","414.864262243948"
"139","294","652.7","calcite","-8.853","-2.781","-11.22955372685","-2.781","11.1396698488106","374.85741709976","-7.88190559320901","-9.05145472123186","372.579330313682"
"139","294","654.92","calcite","-8.938","-2.816","-11.4326863408113","-2.816","10.5783485141411","383.211326020473","-7.27780515502228","-8.52113026373548","400.748446285634"
"139","294","657.14","calcite","-8.828","-2.807","-11.4184974662062","-2.807","10.0979691722873","644.957809907694","-7.85740334174166","-8.76089633259427","507.157072807981"
"139","294","659.36","calcite","-8.934","-2.821","-11.3239035073486","-2.821","11.0868702480657","601.057459687874","-6.97485713458904","-7.76652594214398","512.021640689729"
"139","294","661.58","calcite","-8.819","-2.909","-11.2623439625217","-2.909","10.8097089313831","308.528600037365","-6.44976927052016","-8.35556965018425","352.194200815282"
"139","294","663.8","calcite","-8.941","-2.845","-11.6088419023254","-2.845","9.74144492050202","513.45403589813","-8.43650454750334","-9.01615058149026","461.522967889388"
"139","294","666.02","calcite","-8.793","-2.78","-11.017652670857","-2.78","11.8721787375012","407.475505001152","-6.36395687127729","-7.25329034690212","381.984535625066"
"139","294","668.24","calcite","-8.893","-2.822","-11.1898752652244","-2.822","11.534221693512","365.44167618466","-6.79928649348849","-8.5521612958747","371.318961030549"
"139","294","670.46","calcite","-8.834","-2.903","-11.0382410031094","-2.903","11.9783275632364","414.50435872641","-6.13826179745929","-7.70079255769778","495.274486515372"
"139","294","672.68","calcite","-8.865","-2.851","-11.247484188952","-2.851","11.1126016340319","604.476497710848","-7.47054600357113","-8.10456216889535","437.250808335707"
"139","294","674.9","calcite","-8.848","-2.817","-11.1725644757446","-2.817","11.3922953850159","321.617533538291","-6.62902930834742","-7.60236992856026","366.082676871159"
"139","294","677.12","calcite","-8.829","-2.772","-11.1763713272702","-2.772","11.2782233161829","429.413414018888","-6.55934319218952","-8.74613025751679","398.451263610023"
"139","294","679.34","calcite","-8.867","-2.733","-11.3012451528383","-2.733","10.8611309113003","420.450352522261","-7.04955546966869","-8.43774070821187","444.671556360202"
"139","294","681.56","calcite","-8.854","-2.84","-11.2188158877055","-2.84","11.1969876530124","413.812849591789","-7.49025216068009","-8.40773837110323","363.156152910981"
"139","294","683.78","calcite","-8.893","-2.801","-11.1538424546401","-2.801","11.7102743503047","452.395039022478","-7.69736734283023","-8.18835619009913","430.149462534815"
"139","294","686","calcite","-8.76","-2.67","-11.1877320972681","-2.67","10.8767056093275","403.65763918005","-7.13843057233933","-8.332781152896","363.35780654679"
"139","294","688.28","calcite","-8.83","-2.82","-11.4155457178563","-2.82","10.1222055995585","396.89011096513","-7.47064078728112","-8.88621540119141","421.802883748013"
"139","294","690.56","calcite","-8.859","-2.576","-11.4784468287646","-2.576","9.96273347705581","544.910928884537","-7.7426265328024","-9.90809465169304","485.852587442923"
"139","294","692.84","calcite","-8.894","-2.719","-11.3425603700656","-2.719","10.7956338581614","600.786927402688","-7.74024013360243","-9.3063710859607","500.856496503719"
"139","294","695.12","calcite","-8.844","-2.721","-11.1048000906165","-2.721","11.703074541616","437.076698431878","-6.83503791904576","-7.82535190499491","398.826738275774"
"139","294","697.4","calcite","-8.902","-2.811","-11.1708488809708","-2.811","11.6724970713144","369.313730594034","-7.41170875553583","-8.4150037574863","352.121977149319"
"139","294","699.68","calcite","-8.864","-2.732","-11.2568884659918","-2.732","11.0618077227311","460.859580665064","-7.49102519894071","-7.56214182547436","422.952966957565"
"139","294","701.96","calcite","-8.844","-2.694","-11.0214531950921","-2.694","12.1111139150369","244.076558210108","-6.26347795608951","-7.90093875819335","280.031249607459"
"139","294","704.24","calcite","-8.726","-2.839","-11.2116835995459","-2.839","10.5902207141272","459.142180653883","-7.73370637085042","-8.94945130277554","433.736008851746"
"139","294","706.52","calcite","-8.966","-2.712","-11.306776288958","-2.712","11.3310248875429","339.217010378384","-7.1676095994568","-8.43176936325666","381.749052556099"
"139","294","708.8","calcite","-8.9","-2.878","-11.0940018096252","-2.878","12.0384888095446","436.004772648738","-7.47036160039573","-8.26833283335538","463.30843027804"
